epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,1308.48,0.96699,0.58136,1.16848,0.96142,0.9593,0.97617,0.6641,1.20657,0.50359,1.47491,0.0011684,0.0011684,0.0011684
170,1316.09,0.98695,0.58286,1.17216,0.97545,0.92405,0.97446,0.67342,1.1984,0.51003,1.45243,0.00116345,0.00116345,0.00116345
171,1323.81,0.98569,0.56122,1.18144,0.96441,0.97674,0.97678,0.67561,1.20163,0.50132,1.45913,0.0011585,0.0011585,0.0011585
172,1331.54,0.96689,0.58886,1.17804,0.94616,0.97093,0.97801,0.67444,1.22098,0.48775,1.47988,0.00115355,0.00115355,0.00115355
173,1339.21,0.95431,0.56506,1.17281,0.92093,0.97674,0.97839,0.66846,1.19451,0.50807,1.43406,0.0011486,0.0011486,0.0011486
174,1346.76,0.98861,0.59107,1.1845,0.95697,0.97093,0.97282,0.67212,1.18849,0.48717,1.45468,0.00114365,0.00114365,0.00114365
175,1354.56,0.94969,0.56665,1.17466,0.94894,0.9593,0.96806,0.66192,1.23092,0.53065,1.49047,0.0011387,0.0011387,0.0011387
176,1362.24,0.94235,0.54637,1.16735,0.95369,0.95788,0.97651,0.67254,1.19565,0.4786,1.45636,0.00113375,0.00113375,0.00113375
177,1370.1,0.94848,0.54793,1.16177,0.943,0.98256,0.97465,0.6747,1.21482,0.49104,1.47473,0.0011288,0.0011288,0.0011288
178,1377.46,0.97287,0.57124,1.17753,0.96287,0.94767,0.96995,0.64857,1.24612,0.51302,1.51209,0.00112385,0.00112385,0.00112385
179,1385.27,0.96969,0.57138,1.18771,0.96401,0.98256,0.9769,0.65522,1.22493,0.48902,1.49879,0.0011189,0.0011189,0.0011189
