epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,781.417,1.43909,1.26288,1.49698,0.68075,0.73837,0.7098,0.34159,1.7734,1.26598,1.9567,0.0012575,0.0012575,0.0012575
152,786.339,1.47841,1.31348,1.55062,0.64853,0.76163,0.72682,0.358,1.68285,1.24401,1.90818,0.00125255,0.00125255,0.00125255
153,791.405,1.41209,1.27249,1.49846,0.69296,0.69767,0.69729,0.34004,1.72004,1.25877,1.91426,0.0012476,0.0012476,0.0012476
154,796.625,1.4146,1.27312,1.48226,0.69906,0.71512,0.70994,0.36807,1.66558,1.20166,1.84681,0.00124265,0.00124265,0.00124265
155,801.427,1.40257,1.24841,1.47326,0.68786,0.67905,0.70481,0.36424,1.65423,1.23573,1.85158,0.0012377,0.0012377,0.0012377
156,806.47,1.41214,1.26847,1.49881,0.67281,0.76744,0.70996,0.37704,1.62507,1.20915,1.81334,0.00123275,0.00123275,0.00123275
157,811.678,1.40113,1.22451,1.4673,0.71358,0.72674,0.73345,0.38177,1.65257,1.17447,1.82762,0.0012278,0.0012278,0.0012278
158,816.755,1.41507,1.24058,1.48851,0.71725,0.75,0.77207,0.40316,1.60141,1.13147,1.80506,0.00122285,0.00122285,0.00122285
159,821.845,1.31712,1.21521,1.42054,0.69516,0.75573,0.7352,0.37342,1.61211,1.18522,1.8368,0.0012179,0.0012179,0.0012179
160,827.128,1.41265,1.24804,1.493,0.65672,0.70349,0.69811,0.36745,1.63993,1.22476,1.87025,0.00121295,0.00121295,0.00121295
161,832.301,1.39015,1.238,1.45964,0.66762,0.73837,0.73656,0.38326,1.65552,1.20852,1.86955,0.001208,0.001208,0.001208
162,837.406,1.37493,1.23389,1.44706,0.67274,0.78488,0.74141,0.39063,1.65441,1.16712,1.8618,0.00120305,0.00120305,0.00120305
163,842.605,1.37138,1.18621,1.461,0.64393,0.74653,0.72702,0.38876,1.63995,1.15528,1.86867,0.0011981,0.0011981,0.0011981
164,847.838,1.36066,1.19738,1.45471,0.67383,0.73837,0.73454,0.39156,1.58905,1.13534,1.83271,0.00119315,0.00119315,0.00119315
165,852.848,1.32658,1.1966,1.44699,0.64623,0.69767,0.68951,0.34959,1.68715,1.23373,1.93611,0.0011882,0.0011882,0.0011882
166,857.909,1.35355,1.22712,1.45286,0.68079,0.75,0.74713,0.39463,1.61731,1.1381,1.86847,0.00118325,0.00118325,0.00118325
167,863.159,1.32526,1.16106,1.41974,0.70426,0.76744,0.76448,0.41065,1.59256,1.1113,1.84222,0.0011783,0.0011783,0.0011783
168,868.293,1.33054,1.12298,1.41408,0.67487,0.78488,0.74703,0.37953,1.65071,1.14877,1.86401,0.00117335,0.00117335,0.00117335
169,873.323,1.35144,1.16905,1.45246,0.68225,0.79651,0.73797,0.39492,1.60708,1.13825,1.8601,0.0011684,0.0011684,0.0011684
170,878.542,1.33521,1.17576,1.44572,0.72675,0.73256,0.7624,0.40299,1.60827,1.14035,1.84523,0.00116345,0.00116345,0.00116345
171,883.515,1.33061,1.19429,1.42747,0.70094,0.75,0.7643,0.40096,1.6109,1.11774,1.83115,0.0011585,0.0011585,0.0011585
172,888.493,1.30709,1.1269,1.41637,0.70833,0.77658,0.7523,0.39663,1.63043,1.12372,1.86112,0.00115355,0.00115355,0.00115355
173,893.608,1.32761,1.15667,1.43363,0.65873,0.76312,0.74005,0.40726,1.65268,1.10491,1.90957,0.0011486,0.0011486,0.0011486
174,898.756,1.32841,1.18759,1.42231,0.67576,0.78488,0.77007,0.40653,1.6007,1.1176,1.8517,0.00114365,0.00114365,0.00114365
175,903.874,1.32081,1.17546,1.4208,0.71241,0.74891,0.77485,0.41866,1.57969,1.11407,1.83397,0.0011387,0.0011387,0.0011387
176,909.122,1.3606,1.19101,1.44844,0.70377,0.78731,0.75871,0.40922,1.58007,1.06772,1.84776,0.00113375,0.00113375,0.00113375
177,914.348,1.34426,1.15763,1.44198,0.71751,0.74419,0.73792,0.39498,1.58446,1.08873,1.81357,0.0011288,0.0011288,0.0011288
178,919.32,1.27813,1.12631,1.39929,0.72314,0.76163,0.76919,0.4081,1.63117,1.12853,1.85171,0.00112385,0.00112385,0.00112385
179,924.365,1.35233,1.16539,1.43995,0.71596,0.76744,0.76522,0.40089,1.57395,1.11909,1.8519,0.0011189,0.0011189,0.0011189
180,929.558,1.29037,1.11939,1.41922,0.61148,0.78488,0.6968,0.39618,1.57433,1.17079,1.86464,0.00111395,0.00111395,0.00111395
